reviewerId,filePathCategory
1010082,C7
1019910,C483
1006433,C67
1006444,C88
1006444,C293
1044651,C32
1021004,C7
1046320,C483
1028773,C293
1043738,C483
1037066,C7
1004910,C124
1014814,C34
1015378,C9
1001414,C9
1006433,C7
1023201,C124
1006257,C9
1006668,C124
1039576,C9
1010056,C124
1019910,C88
1015613,C92
1001414,C9
1001414,C109
1001414,C34
1010121,C7
1003618,C32
1002951,C32
1003966,C7
1004689,C67
1010055,C109
1052399,C7
1044320,C483
1018108,C7
1001414,C109
1045657,C32
1039576,C7
1002951,C7
1018875,C32
1019010,C7
1056364,C32
1030953,C7
1041833,C7
1006444,C408
1001414,C9
1050729,C236
1044651,C7
1030953,C7
1001414,C9
1022033,C321
1041833,C7
1043845,C9
1054282,C9
1023201,C124
1053298,C7
1006433,C32
1019910,C32
1001414,C321
1006257,C124
1002956,C32
1002951,C124
1019910,C88
1040300,C40
1042744,C293
1006433,C7
1050224,C9
1001414,C109
1011068,C48
1017685,C109
1006257,C147
1015381,C48
1030953,C7
1021004,C40
1047759,C293
1043845,C7
1006433,C7
1001414,C124
1004424,C147
1006433,C321
1022272,C88
1052399,C7
1043845,C7
1010465,C124
1001414,C7
1023201,C124
1005112,C124
1006433,C9
1002951,C124
1030953,C9
1006668,C0
1006444,C293
1006433,C124
1041673,C9
1019910,C293
1006433,C124
1004424,C147
1001414,C321
1016138,C9
1017944,C109
1002951,C7
1004424,C147
1006433,C34
1006433,C124
1026058,C7
1001414,C293
1029223,C32
1005112,C124
1003224,C9
1005480,C7
1010121,C9
1013855,C7
1004910,C124
1026058,C124
1001414,C9
1010186,C7
1042744,C293
1001414,C321
1052828,C293
1041553,C34
1053298,C293
1001414,C9
1006668,C124
1044651,C321
1018108,C7
1006433,C32
1004910,C124
1019910,C293
1022033,C293
1006433,C415
1041833,C147
1014629,C32
1003981,C124
1006433,C48
1022033,C293
1004689,C293
1039576,C7
1022033,C321
1019910,C88
1003224,C483
1001414,C9
1006668,C124
1013030,C7
1001414,C293
1016138,C7
1013157,C34
1019910,C88
1001414,C109
1001414,C293
1004910,C124
1006433,C300
1019910,C293
1018108,C7
1003224,C293
1026058,C7
1001414,C34
1006433,C321
1006433,C7
1003957,C124
1006433,C7
1001414,C9
1006433,C32
1045657,C32
1043017,C7
1014629,C32
1019910,C88
1032276,C32
1042744,C293
1038443,C7
1004910,C124
1006497,C32
1004689,C109
1004424,C124
1001414,C109
1023201,C124
1006433,C124
1006444,C293
1014629,C32
1036869,C7
1001414,C9
1006444,C293
1004910,C34
1021471,C7
1002951,C34
1003723,C300
1010077,C413
1002621,C321
1004689,C293
1003744,C415
1042744,C293
1004689,C293
1030953,C9
1038443,C7
1026058,C34
1015381,C48
1011634,C0
1001414,C67
1006668,C124
1004424,C124
1014629,C300
1002951,C67
1006433,C48
1004689,C293
1019910,C293
1022033,C293
1006433,C124
1014629,C32
1023201,C124
1014814,C34
1001146,C7
1013157,C34
1019910,C88
1053298,C293
1001414,C9
1043845,C0
1010111,C124
1023201,C124
1013157,C34
1019910,C293
1015869,C7
1019050,C7
1004424,C124
1016138,C124
1001414,C124
1003723,C321
1030953,C9
1041553,C124
1004424,C124
1006668,C147
1021004,C40
1019910,C293
1042744,C293
1014629,C92
1057413,C293
1041833,C7
1039576,C9
1001414,C293
1004424,C67
1013855,C7
1000559,C293
1044651,C408
1003957,C124
1030953,C7
1001414,C32
1052399,C9
1052644,C391
1030953,C9
1055173,C7
1005860,C7
1041833,C7
1043514,C48
1052828,C293
